state,left,right,up,down
0,-0.9999999999999996,0.0,-0.9999999999999996,0.0
1,0.0,0.0,-0.9999999999999996,0.0
2,0.0,0.0,-0.9999999999999996,0.0
3,0.0,0.0,-0.9999999992161024,0.0
4,0.0,0.0,-0.9999998767976688,0.0
5,0.0,0.0,-0.9999635646105794,0.0
6,0.0,0.0,-0.9998566588802033,0.0
7,0.0,0.0,-0.9988209815422262,0.0
8,0.0,0.0,-0.9980033218889841,0.0
9,0.0,0.0,-0.992144832788721,0.0
10,0.0,0.0,-0.9797244404095546,0.0
11,0.0,0.0,-0.9656631617970749,0.0
12,0.0,0.0,-0.9690968456173674,0.0
13,0.0,0.0,-0.9202335569231275,0.0
14,0.0,0.0,-0.911370618803475,0.0
15,0.0,0.0,-0.901522909781639,0.0
16,0.0,0.0,-0.8649148282327008,0.0
17,0.0,0.0,-0.8649148282327008,0.0
18,0.0,0.0,-0.7458134171671,0.0
19,0.0,0.0,-0.7458134171671,0.0
20,0.0,0.0,-0.5217031000000001,0.0
21,0.0,0.0,-0.68618940391,0.0
22,0.0,0.0,-0.5217031000000001,0.0
23,0.0,0.0,-0.46855900000000006,0.0
24,0.0,0.0,-0.46855900000000006,0.0
25,0.0,0.0,-0.5695327900000001,0.0
26,0.0,0.0,-0.46855900000000006,0.0
27,0.0,0.0,-0.5217031000000001,0.0
28,0.0,0.0,-0.34390000000000004,0.0
29,0.0,0.0,-0.271,0.0
30,0.0,0.0,-0.34390000000000004,0.0
31,0.0,0.0,-0.40951000000000004,0.0
32,0.0,0.0,-0.34390000000000004,0.0
33,0.0,0.0,-0.1,0.0
34,0.0,0.0,-0.1,0.0
35,0.0,0.0,-0.19,0.0
36,0.0,0.0,-0.19,0.0
37,0.0,0.0,-0.19,0.0
38,0.0,0.0,-0.1,0.0
39,0.0,0.0,0.0,0.0
40,-0.9999999999999996,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
