,date,capacity,turnover,open,high,low,close,change,transaction
37,2010/3/4,1517620,186581260,125.5,125.5,121,122.5,-3.5,798
38,2010/3/5,1851245,226366511,123.5,124,121,122.5,0,928
39,2010/3/8,1733070,219509460,123,129,123,128.5,6,1119
40,2010/3/9,1545823,197458236,128.5,129,126,128.5,0,918
41,2010/3/10,1909897,239705760,128.5,128.5,124.5,125,-3.5,884
42,2010/3/11,759428,95256928,126.5,127,124.5,125,0,552
43,2010/3/12,1488777,188228802,126.5,127.5,125,126,1,799
44,2010/3/15,1060291,131781166,126,127.5,123,123,-3,713
45,2010/3/16,1298879,158701754,123,124,121.5,122,-1,770
46,2010/3/17,2798537,355473574,123,130.5,123,130.5,8.5,1764
47,2010/3/18,1616961,210374945,130.5,131.5,129,129.5,-1,1097
48,2010/3/19,953891,121613382,129,129.5,126.5,127,-2.5,793
49,2010/3/22,1012049,126731125,125,127,124.5,125,-2,752
50,2010/3/23,820471,102621375,126.5,126.5,124,124.5,-0.5,646
51,2010/3/24,2219817,279110125,125.5,127.5,124.5,125.5,1,891
52,2010/3/25,1065812,131977591,125,125,123,124.5,-1,726
53,2010/3/26,1149497,142917128,124.5,125,123.5,124,-0.5,792
54,2010/3/29,790343,99522875,125,127,125,125.5,1.5,574
55,2010/3/30,552500,69754500,127,127,125.5,126,0.5,400
56,2010/3/31,848973,107365109,126,127,125.5,126,0,518
57,2010/4/1,1245050,158611850,126.5,128,125.5,127.5,1.5,927
58,2010/4/2,811633,104584336,128,129.5,128,129,1.5,577
59,2010/4/6,3938131,527704792,132,137.5,131,132,3,2257
60,2010/4/7,2625854,346113874,134.5,134.5,130.5,130.5,-1.5,1283
61,2010/4/8,2151641,277544548,130.5,132.5,126,128,-2.5,1161
62,2010/4/9,684103,88201732,128,130,127.5,129,1,511
63,2010/4/12,867550,111906450,131,131.5,127.5,128,-1,596
64,2010/4/13,863120,111166740,128,130,127,127.5,-0.5,610
65,2010/4/14,3002524,398831668,130,134.5,130,132.5,5,1573
66,2010/4/15,2479435,331456565,134,136,131.5,134,1.5,1246
67,2010/4/16,1545930,204932260,134,134.5,131,133.5,-0.5,800
68,2010/4/19,1780902,234763858,131,133.5,129.5,129.5,-4,1245
69,2010/4/20,849046,111038002,130.5,132,129.5,131,1.5,594
70,2010/4/21,2915098,392363869,131,137.5,131,137,6,1882
71,2010/4/22,1733439,231553100,135,136.5,132,134,-3,1240
72,2010/4/23,1130848,152557555,134,135.5,133.5,135,1,726
73,2010/4/26,920542,125315940,136,137,135.5,136,1,785
74,2010/4/27,1325673,181465337,136.5,139,134,136.5,0.5,684
75,2010/4/28,1388066,187538443,131.5,136.5,131.5,136,-0.5,831
76,2010/4/29,899453,121799470,136,136,133.5,133.5,-2.5,519
77,2010/4/30,3567587,486982358,134.5,139,132,132,-1.5,1876
78,2010/5/3,910162,123366447,134,137,133.5,136,4,674
79,2010/5/4,5185990,738261522,139,145.5,136,145.5,9.5,2759
80,2010/5/5,3392908,483095620,143,144,140,140,-5.5,1956
81,2010/5/6,2144954,301526198,140.5,143,137,138,-2,1257
82,2010/5/7,3854443,552043061,136,147,136,144,6,2137
