,left,right,up,down
0,-0.9999999837121726,2.179667047323686e-06,-0.9999999462968963,2.193564621478688e-08
1,3.0541137511800995e-07,1.5694150300144706e-09,-0.9999998173992357,3.6086802519801547e-06
2,2.9369706812901394e-08,0.0,-0.9999999999995195,0.0
3,6.075073918233173e-13,0.0,-0.9999999989246946,0.0
4,1.2744918516822657e-14,0.0,-0.999990738612869,0.0
5,0.0,0.0,-0.999870992992183,0.0
6,0.0,0.0,-0.9995432240925493,0.0
7,0.0,0.0,-0.9958254420820708,0.0
8,0.0,0.0,-0.9942735831029776,0.0
9,0.0,0.0,-0.9618479575523055,0.0
10,0.0,0.0,-0.9282102012308148,0.0
11,0.0,0.0,-0.911370618803475,0.0
12,0.0,0.0,-0.8649148282327008,0.0
13,0.0,0.0,-0.8905810108684877,0.0
14,0.0,0.0,-0.8332281830033343,0.0
15,0.0,0.0,-0.6513215599000001,0.0
16,0.0,0.0,-0.7458134171671,0.0
17,0.0,0.0,-0.5217031000000001,0.0
18,0.0,0.0,-0.68618940391,0.0
19,0.0,0.0,-0.7941088679053511,0.0
20,0.0,0.0,-0.7712320754503901,0.0
21,0.0,0.0,-0.5217031000000001,0.0
22,0.0,0.0,-0.46855900000000006,0.0
23,0.0,0.0,-0.5217031000000001,0.0
24,0.0,0.0,-0.5217031000000001,0.0
25,0.0,0.0,-0.271,0.0
26,0.0,0.0,-0.19,0.0
27,0.0,0.0,-0.271,0.0
28,0.0,0.0,-0.34390000000000004,0.0
29,0.0,0.0,-0.34390000000000004,0.0
30,0.0,0.0,-0.19,0.0
31,0.0,0.0,-0.40951000000000004,0.0
32,0.0,0.0,-0.19,0.0
33,0.0,0.0,-0.1,0.0
34,0.0,0.0,-0.271,0.0
35,0.0,0.0,-0.271,0.0
36,0.0,0.0,-0.19,0.0
37,0.0,0.0,-0.1,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,-0.9999999999999996,1.3251000109016234e-06,0.0,2.7178127212807664e-10
41,2.3650659345598655e-07,5.5432820833077695e-08,2.0841150250395612e-07,6.072293648863719e-06
42,1.6314925997472442e-13,4.527432905205708e-09,0.0,7.420095312491541e-07
43,3.0539475454834166e-10,0.0,0.0,3.540243782405202e-06
44,6.257148546365484e-09,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,3.465935942452262e-36
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
79,0.0,-0.1,0.0,0.0
80,-0.9999999994250716,3.975169521066447e-07,8.863329317464168e-10,0.0
81,2.5523122629869954e-08,9.889911039192453e-06,7.407361548196641e-07,5.651180082703713e-08
82,1.069871516635672e-07,1.5893169092731704e-05,7.794121048080493e-09,1.788027308176253e-07
83,2.1360783538173104e-07,5.005772641274753e-07,5.394475780523246e-07,2.5269969887346995e-05
84,5.185864160356168e-06,2.186497486033545e-33,0.0,4.1426241819385215e-24
85,0.0,7.236227909584654e-18,0.0,0.0
86,0.0,0.0,0.0,1.610102985655902e-15
87,5.029233997850325e-34,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,-0.1,0.0,0.0
120,-0.9999872957652524,1.790672881284272e-11,0.0,0.0
121,0.0,0.0,1.1574347200073197e-06,0.0
122,1.6174331759573094e-09,4.711443500605365e-06,1.2068178778762956e-07,9.649732721385309e-14
123,2.758285050381846e-07,4.347471355453646e-06,2.2114762665206678e-06,3.925050322141978e-05
124,1.4709094254141686e-08,0.0,4.05772161382264e-08,2.013489834613217e-05
125,3.4245508504024663e-07,1.9416779278400667e-17,0.0,0.0
126,0.0,0.0,0.0,4.0331311309025384e-07
127,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0
159,0.0,-0.1,0.0,0.0
160,-0.9999897095698544,0.0,0.0,0.0
161,0.0,0.0,5.695830497916723e-16,0.0
162,0.0,4.017795061240502e-07,0.0,8.443565903312722e-13
163,1.958480053068886e-08,5.789012124482832e-05,2.389384263238241e-07,4.850150110119555e-06
164,4.593304111506492e-06,7.476719126791504e-06,1.725484843060003e-06,8.777607820987527e-05
165,8.316834391940752e-07,5.955777667859033e-10,1.2028110682060667e-10,3.9378454849401173e-05
166,1.0263101339852288e-16,3.895590235519951e-10,3.7616377444583695e-10,6.180258470398965e-05
167,9.773212276326243e-08,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0
169,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0
